"filename","caption"
"000001.jpg","Rich onion soup with cheesy crouton, served with breadsticks."
"000002.jpg","Savory burger halves with melted cheese and sautéed mushrooms."
"000003.jpg","Pita sandwich with falafel, lettuce, and creamy white sauce."
"000004.jpg","Sweet baked pudding with glaze in a white paper cup."
"000005.jpg","Pan-seared salmon with vibrant greens and green sauce drizzle."
"000006.jpg","Decadent chocolate cake slice with whipped cream and strawberry."
"000007.jpg","Baked dish with crispy topping, garnished with fresh parsley."
"000008.jpg","Golden brown fried dough served with peas and potato wedges."
"000009.jpg","Sandwiches topped with fried eggs, served with crispy fries."
"000010.jpg","Creamy stew with green strips, alongside a raw fish plate."
"000011.jpg","Rich chocolate cake with white chocolate shavings and dark garnish."
"000012.jpg","Decadent chocolate cheesecake slice, topped with fluffy whipped cream."
"000013.jpg","Golden brown fruit tart, baked to perfection."
"000014.jpg","Loaded nachos with salsa, sour cream, jalapeños."
"000015.jpg","Pizza with bacon, shrimp, mushrooms, and melted cheese."
"000016.jpg","Crispy falafel patties served with fresh vibrant vegetables."
"000017.jpg","Glazed ribs, baked potato, and mixed grilled vegetables."
"000018.jpg","Pan-seared salmon with fluffy mashed potatoes, steamed broccoli."
"000019.jpg","Hearty fried rice with savory ingredients and eggs."
"000020.jpg","Crispy battered fish and golden french fries with lemon."
"000021.jpg","Golden battered fish with creamy white dipping sauce."
"000022.jpg","Dark brown sauce with subtle specks and a spoon."
"000023.jpg","Bright yellow fried rice with colorful mixed vegetables."
"000024.jpg","Vibrant red soup with noodles, mushrooms, and greens."
"000025.jpg","Hearty curry with rice and crispy prawn crackers."
"000026.jpg","Assortment of cheeses, crackers, dried fruit, and nuts."
"000027.jpg","Tall slice of carrot cake with cream cheese frosting."
"000028.jpg","Steamed mussels in a flavorful broth with tomatoes and garlic."
"000029.jpg","Crispy fried chicken wings with celery and creamy dip."
"000030.jpg","Hot and sour soup with visible vegetables and protein."
"000031.jpg","Raw beef tartare with egg, fresh greens, and toast."
"000032.jpg","Crispy french fries with fresh rosemary and herbs."
"000033.jpg","Fresh tomato and mozzarella slices with basil leaves."
"000034.jpg","Dessert with ice cream, caramel, strawberry, and wafer."
"000035.jpg","Fried falafel balls with green dipping sauce and spice."
"000036.jpg","Delicate macarons on a decorative, elevated serving stand."
"000037.jpg","Slices of cake with white frosting and walnuts."
"000038.jpg","Fresh green mixed salad leaves in a bowl."
"000039.jpg","Mac and cheese topped with crunchy breadcrumbs."
"000040.jpg","Crispy fried fish, golden fries, lemon, and dipping sauces."
"000041.jpg","Savory fried rice with meat and vegetable bits."
"000042.jpg","Curry, couscous, and raita served on a wooden tray."
"000043.jpg","Crispy fried chicken wings with celery and creamy dip."
"000044.jpg","Golden fish and chips, fresh salad, lemon, and sauce."
"000045.jpg","Sliced red meat, fresh arugula, parmesan, and lemon."
"000046.jpg","Skewered chicken, naan bread, fresh herbs, and green sauce."
"000047.jpg","Glazed ribs with mashed potatoes and green slaw."
"000048.jpg","Creamy mac and cheese with toasted breadcrumb topping."
"000049.jpg","Many layers of chocolate cake with a shiny glaze."
"000050.jpg","Carrot cake with white frosting and a caramel drizzle."
"000051.jpg","Poached eggs covered in hollandaise sauce with hash browns."
"000052.jpg","Macaroni and cheese topped with toasted breadcrumbs."
"000053.jpg","Fluffy omelette topped with tender meat and fresh greens."
"000054.jpg","Cheesy burger on a flaky bun with chips and pickle."
"000055.jpg","Fried dough with powdered sugar in a paper bag."
"000056.jpg","Eggs benedict with ham, sausage, and a hash brown."
"000057.jpg","Cheesy nachos with jalapeños, guacamole, and sour cream."
"000058.jpg","Assorted cheeses, dried fruit, and bread slices."
