filename,caption,predicted_caption,bert_P,bert_R,bert_F1,cider
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.8316,87.2207,87.0257,0.0000
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",87.3727,85.8894,86.6247,0.3273
000003.jpg,Frothy orange soup with a central green herb garnish.,"sweet cannoli with cream, powdered sugar, powdered sugar.",85.5250,84.6753,85.0980,0.2052
000004.jpg,"Golden paella with seafood, green peas, and rice.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",87.9780,90.4507,89.1972,0.3654
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",fresh oysters on ice with lemon and red sauces.,86.8453,87.7428,87.2917,0.6358
000006.jpg,Cheesy burger with a generous portion of golden fries.,sweet cannoli with powdered sugar on a plate..,86.6459,86.7676,86.7067,5.4039
000007.jpg,Layered tomato and fresh green salad.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",85.8794,86.7218,86.2985,0.4864
000008.jpg,Spaghetti topped generously with a rich meat sauce.,crispy fish and chips with coleslaw and dipping sauce.,87.1634,90.5759,88.8369,17.3843
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.","assorted cheeses, crackers, dried fruit, and fresh fruit cup.",91.7998,93.1497,92.4698,29.9782
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,rich chocolate cake slice with whipped cream and caramel drizzle.,86.5522,86.0169,86.2837,0.1944
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.9428,86.1869,86.5632,0.2772
000012.jpg,A blurry image of a bowl of fried rice.,rich chocolate mousse in a white bowl. bowl.,87.3311,88.8359,88.0771,4.3739
000013.jpg,Golden brown melted cheese on a bubbling soup.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",84.6824,87.3824,86.0112,0.0000
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",rich chocolate cake slice with ice cream and caramel drizzle.,85.4898,83.5041,84.4853,0.2602
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,fresh green salad with croutons and parmesan cheese.,86.6401,87.2343,86.9362,0.3454
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",86.0380,87.5283,86.7767,0.4663
000017.jpg,Crispy golden toast with powdered sugar and syrup.,"grilled ribs, crispy fries, and a biscuit. fries..",87.0269,85.9267,86.4733,0.3742
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.7240,86.8188,86.7714,0.3259
000019.jpg,Fresh spring rolls with visible shrimp and greens.,"rich chocolate mousse in a bowl, topped with a white bowl.",86.2439,86.0513,86.1475,0.1895
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.8833,86.9313,86.9073,0.3512
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",87.7622,86.4534,87.1029,0.0000
000022.jpg,Assortment of artfully presented appetizers on white servingware.,"grilled steak, crispy fries, and a side of sauce.",86.4304,86.0702,86.2499,9.4026
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,"crispy, golden - brown fried chicken wings on a plate. fries..",86.5089,85.5064,86.0048,10.1023
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,fresh oysters on ice with lemon and red sauces.,88.4683,85.4580,86.9371,9.3875
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",83.2453,85.2416,84.2316,0.2204
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",85.6451,85.0431,85.3430,0.3180
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.","sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish.",83.3009,85.0609,84.1717,0.0000
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,sweet cannoli with powdered sugar and chocolate chips..,87.2617,86.0028,86.6277,0.2002
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,crispy fish and chips with coleslaw and sauce..,86.4837,85.9214,86.2016,0.2415
000030.jpg,Golden brown toasted bread slices with a crispy crust.,"crispy, golden - brown fried chicken wings on a plate. plate..",87.4346,89.0843,88.2518,26.1767
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.","grilled ribs, crispy fries, and a fresh salad. platter.",88.1584,87.4484,87.8020,0.3116
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,"grilled ribs, crispy fries, coleslaw, and a side of salsa.",85.6488,86.4507,86.0479,5.1658
000033.jpg,"Fresh oysters on ice, with sauce and lemon.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.6347,88.4439,87.5300,0.4018
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.8157,86.7584,86.7870,0.4478
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",85.2575,85.7424,85.4993,0.2585
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",crispy fried fish and golden french fries. fries. fries.,87.8765,88.1897,88.0328,0.0000
000037.jpg,"Fresh green salad with apples, walnuts, and beets.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.3470,87.3678,86.8544,0.3573
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",88.6672,88.4276,88.5472,11.1107
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.","grilled ribs, crispy fries, and a side of green salad.",89.1124,88.1803,88.6439,0.3498
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",crispy fried calamari rings with a side of dipping sauce.,88.1493,85.6064,86.8593,0.1784
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,"sweet cannoli with cream, powdered sugar, powdered sugar.",87.8296,86.3476,87.0823,0.2004
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,crispy fish and chips with coleslaw and sauce..,87.8070,87.5774,87.6921,0.5866
000043.jpg,Fluffy beignets generously covered with powdered sugar.,"sweet cannoli with cream, powdered sugar, powdered sugar.",91.4339,88.6924,90.0423,70.5466
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.9761,86.4800,86.7274,0.3806
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,crispy fish and chips with coleslaw and sauce..,88.7970,87.6441,88.2168,0.5672
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",fresh green salad with croutons and parmesan cheese.,85.1448,88.0763,86.5858,8.4487
000048.jpg,Chicken and vegetable stir-fry served with white rice.,"crispy fried fish, golden fries, coleslaw, and dipping sauces.",86.8951,88.2839,87.5840,0.3860
000049.jpg,Gnawed chicken bones on a paper-lined tray.,sweet cannoli with chocolate chips and chocolate chips..,85.0830,84.5056,84.7933,0.0000
000050.jpg,Classic cheese pizza slice with a sprinkle of seasoning.,sweet cannoli dusted with powdered sugar and powdered sugar.,86.1370,88.7759,87.4365,0.2109
000051.jpg,"Dome-shaped fried rice with meat, egg, and red pickles.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",89.3380,88.7268,89.0314,11.7210
000052.jpg,A plate of golden-brown crispy chicken wings.,rich chocolate mousse in a white bowl. bowl.,87.4865,87.5859,87.5362,0.0000
000053.jpg,"Salsa with chunks, surrounded by colorful tortilla chips.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",83.6682,85.9450,84.7914,0.1521
000054.jpg,"Two cannolis filled with cream, dusted with powdered sugar.",sweet cannoli dusted with powdered sugar and powdered sugar.,94.4523,93.5443,93.9961,156.8753
000055.jpg,"Crispy fried chicken, fresh greens, and creamy green sauce.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",92.3059,92.5042,92.4049,14.2993
000056.jpg,A cinnamon-sugar churro with a cup of chocolate dip.,"grilled steak, toasted bread, and a side of green salad.",85.9843,86.1593,86.0717,13.0928
000057.jpg,"Thinly sliced meat, fresh greens, capers, and crispy flatbread.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",88.4572,89.5351,88.9929,19.5841
000058.jpg,"Fresh Caesar salad with cheese, croutons, and a boiled egg.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",87.1053,88.3702,87.7332,23.3638
000059.jpg,"A close-up of glossy, saucy chicken wings.",golden fried fish and chips with coleslaw. fries.,86.0902,86.4891,86.2892,0.0000
000060.jpg,Richly roasted duck with shiny skin and white buns.,"sweet cannoli with cream, powdered sugar and pistachios.",85.1378,86.4183,85.7733,0.5266
000061.jpg,"Fried egg with ham, cheese sauce, and sweet potatoes.","grilled ribs, crispy fries, and creamy coleslaw. fries.",88.8395,88.1996,88.5184,0.3561
000062.jpg,Fresh mixed green salad with croutons and crumbled cheese.,"thinly sliced meat with arugula, cheese, and balsamic drizzle.",86.9979,87.4156,87.2062,0.4823
000063.jpg,"Colorful rice bowl with vegetables, mushrooms, and egg yolk.","thinly sliced meat with arugula, cheese, and balsamic drizzle.",85.3832,87.5731,86.4643,0.4917
000064.jpg,Grilled quesadilla slices with chicken and fresh tomato salsa.,"thinly sliced meat with arugula, cheese, and balsamic drizzle.",87.1651,86.0582,86.6081,0.5456
000065.jpg,Golden-brown grilled chicken wings on skewers.,"sweet cannoli with cream, chocolate chips, and powdered sugar.",85.6165,87.3462,86.4727,0.0000
000066.jpg,"Noodles with shrimp, sprouts, peanuts, and lime wedge.","crispy fried fish, golden fries, coleslaw, and dipping sauces.",87.5849,88.9074,88.2412,0.3256
000067.jpg,"Grilled fish with lemon, rice, soup, and side.","thinly sliced red meat, capers, parmesan, parmesan, parmesan, and cheese.",82.7740,87.7829,85.2049,0.1783
