filename,caption,predicted_caption
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000003.jpg,Frothy orange soup with a central green herb garnish.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000004.jpg,"Golden paella with seafood, green peas, and rice.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",fresh oysters on ice with lemon and red sauces.
000006.jpg,Cheesy burger with a generous portion of golden fries.,sweet cannoli with powdered sugar on a plate..
000007.jpg,Layered tomato and fresh green salad.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000008.jpg,Spaghetti topped generously with a rich meat sauce.,crispy fish and chips with coleslaw and dipping sauce.
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.","assorted cheeses, crackers, dried fruit, and fresh fruit cup."
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,rich chocolate cake slice with whipped cream and caramel drizzle.
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000012.jpg,A blurry image of a bowl of fried rice.,rich chocolate mousse in a white bowl. bowl.
000013.jpg,Golden brown melted cheese on a bubbling soup.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",rich chocolate cake slice with ice cream and caramel drizzle.
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,fresh green salad with croutons and parmesan cheese.
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000017.jpg,Crispy golden toast with powdered sugar and syrup.,"grilled ribs, crispy fries, and a biscuit. fries.."
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000019.jpg,Fresh spring rolls with visible shrimp and greens.,"rich chocolate mousse in a bowl, topped with a white bowl."
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000022.jpg,Assortment of artfully presented appetizers on white servingware.,"grilled steak, crispy fries, and a side of sauce."
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,"crispy, golden - brown fried chicken wings on a plate. fries.."
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,fresh oysters on ice with lemon and red sauces.
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.","sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,sweet cannoli with powdered sugar and chocolate chips..
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,crispy fish and chips with coleslaw and sauce..
000030.jpg,Golden brown toasted bread slices with a crispy crust.,"crispy, golden - brown fried chicken wings on a plate. plate.."
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.","grilled ribs, crispy fries, and a fresh salad. platter."
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,"grilled ribs, crispy fries, coleslaw, and a side of salsa."
000033.jpg,"Fresh oysters on ice, with sauce and lemon.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",crispy fried fish and golden french fries. fries. fries.
000037.jpg,"Fresh green salad with apples, walnuts, and beets.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.","grilled ribs, crispy fries, and a side of green salad."
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",crispy fried calamari rings with a side of dipping sauce.
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,crispy fish and chips with coleslaw and sauce..
000043.jpg,Fluffy beignets generously covered with powdered sugar.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,crispy fish and chips with coleslaw and sauce..
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",fresh green salad with croutons and parmesan cheese.
000048.jpg,Chicken and vegetable stir-fry served with white rice.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000049.jpg,Gnawed chicken bones on a paper-lined tray.,sweet cannoli with chocolate chips and chocolate chips..
000050.jpg,Classic cheese pizza slice with a sprinkle of seasoning.,sweet cannoli dusted with powdered sugar and powdered sugar.
000051.jpg,"Dome-shaped fried rice with meat, egg, and red pickles.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000052.jpg,A plate of golden-brown crispy chicken wings.,rich chocolate mousse in a white bowl. bowl.
000053.jpg,"Salsa with chunks, surrounded by colorful tortilla chips.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000054.jpg,"Two cannolis filled with cream, dusted with powdered sugar.",sweet cannoli dusted with powdered sugar and powdered sugar.
000055.jpg,"Crispy fried chicken, fresh greens, and creamy green sauce.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000056.jpg,A cinnamon-sugar churro with a cup of chocolate dip.,"grilled steak, toasted bread, and a side of green salad."
000057.jpg,"Thinly sliced meat, fresh greens, capers, and crispy flatbread.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000058.jpg,"Fresh Caesar salad with cheese, croutons, and a boiled egg.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000059.jpg,"A close-up of glossy, saucy chicken wings.",golden fried fish and chips with coleslaw. fries.
000060.jpg,Richly roasted duck with shiny skin and white buns.,"sweet cannoli with cream, powdered sugar and pistachios."
000061.jpg,"Fried egg with ham, cheese sauce, and sweet potatoes.","grilled ribs, crispy fries, and creamy coleslaw. fries."
000062.jpg,Fresh mixed green salad with croutons and crumbled cheese.,"thinly sliced meat with arugula, cheese, and balsamic drizzle."
000063.jpg,"Colorful rice bowl with vegetables, mushrooms, and egg yolk.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000064.jpg,Grilled quesadilla slices with chicken and fresh tomato salsa.,"thinly sliced meat with arugula, cheese, and balsamic drizzle."
000065.jpg,Golden-brown grilled chicken wings on skewers.,"sweet cannoli with cream, chocolate chips, and powdered sugar."
000066.jpg,"Noodles with shrimp, sprouts, peanuts, and lime wedge.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000067.jpg,"Grilled fish with lemon, rice, soup, and side.","thinly sliced red meat, capers, parmesan, parmesan, parmesan, and cheese."
000068.jpg,Crispy fried fish and golden fries with lemon.,crispy fish and chips with coleslaw and dipping sauce.
000069.jpg,Golden fried fish with green peas and a lemon.,"sweet cannoli with cream, powdered sugar. fries."
000070.jpg,Cheesy macaroni pasta shells in a foil cup.,crispy fish and chips with coleslaw and sauce..
000071.jpg,Fragrant fried rice topped with fresh green onions.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000072.jpg,Toasted bread with diced tomatoes and fresh basil.,fresh oysters on ice with lemon and red sauces.
000073.jpg,"Fresh fruit salsa with toast, vibrant and colorful.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000074.jpg,Crispy golden fried chicken wings in a foil pan.,golden fried fish and chips with coleslaw. fries.
000075.jpg,"White fish chunks and frisée salad, delicately plated.","thinly sliced meat with arugula, cheese, and balsamic drizzle. toast."
000076.jpg,"Assortment of cheeses, meats, crackers, and dried fruit.",fresh oysters on ice with lemon and lemon..
000077.jpg,Savory beef curry with rice and fresh vegetables.,"rich chocolate mousse in a bowl, topped with a white bowl."
000078.jpg,"Thick patty on lettuce, served with golden french fries.",crispy fish and chips with coleslaw and sauce..
000079.jpg,Runny eggs benedict with hollandaise sauce and crispy hash browns.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
