filename,caption,predicted_caption,bert_P,bert_R,bert_F1,cider
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,there is a plate of food on a table,87.3710,83.3114,85.2929,0.0000
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.",there is a plate with a sandwich and a salad on it,87.2579,83.7091,85.4467,0.3751
000003.jpg,Frothy orange soup with a central green herb garnish.,a close up of a bowl of food on a table with a spoon,87.2628,84.8669,86.0482,7.8516
000004.jpg,"Golden paella with seafood, green peas, and rice.",there is a bowl of meat and vegetables on a table,88.8624,90.0623,89.4583,0.2690
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",there is a plate with a sandwich and a salad on it,87.3875,86.7818,87.0836,0.3978
000006.jpg,Cheesy burger with a generous portion of golden fries.,a plate of fries and a sandwich on a table,91.5079,90.2897,90.8947,15.6965
000007.jpg,Layered tomato and fresh green salad.,a plate of food with a fork and a fork on a table,85.2229,84.4569,84.8382,0.1764
000008.jpg,Spaghetti topped generously with a rich meat sauce.,there is a bowl of broccoli and a fork,86.7976,87.0420,86.9196,5.1523
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.",a white plate topped with a piece of bread and a sandwich,87.5799,88.1263,87.8522,0.2423
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,a bowl of soup with a spoon and a spoon on a table,87.2148,84.6251,85.9004,17.1300
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,a white plate topped with a salad and a bowl of water,87.2020,86.2813,86.7392,0.3905
000012.jpg,A blurry image of a bowl of fried rice.,a plate with a piece of bread and a fork on it,90.0767,90.8427,90.4581,18.6861
000013.jpg,Golden brown melted cheese on a bubbling soup.,a white plate topped with a pizza and a fork,85.9903,87.1416,86.5621,5.5087
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",there is a piece of cake on the plate,87.4183,81.6113,84.4151,0.0000
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,a white plate topped with meat and vegetables on a table,87.0840,84.1988,85.6171,21.3098
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.",a white plate topped with meat and broccoli on a table,87.6590,88.0381,87.8481,0.4939
000017.jpg,Crispy golden toast with powdered sugar and syrup.,there is a piece of chocolate cake on a plate,86.8446,84.8922,85.8573,0.0000
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,a close up of a pizza on a plate,88.8922,86.6056,87.7340,38.3634
000019.jpg,Fresh spring rolls with visible shrimp and greens.,a close up of a plate of food on a table with a plate of food,84.7863,84.2467,84.5156,0.0495
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,a white plate topped with broccoli and meat,87.4473,88.1830,87.8136,0.6770
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,a close up of a plate of food with broccoli and a spoon,87.0271,84.0400,85.5075,9.3764
000022.jpg,Assortment of artfully presented appetizers on white servingware.,two plates of food on a table next to a bowl of soup,89.3052,86.7762,88.0225,8.1644
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,a bunch of doughnuts sitting on a white plate,87.8359,86.6931,87.2608,15.2775
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,a plate of food on a table with a fork and fork,85.8184,82.8301,84.2978,0.3452
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.",two plates of food on a table with a fork and a fork,86.9989,85.8521,86.4217,4.2396
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.",a wooden table topped with a plate of food,85.9602,82.2858,84.0829,0.1839
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.",there is a piece of cake that is on a plate,86.0871,83.7572,84.9061,0.0000
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,a close up of a plate of food on a wooden table,87.0832,84.3287,85.6838,6.6211
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,a close up of a plate of food on a dining table,86.3161,82.9368,84.5927,0.0000
000030.jpg,Golden brown toasted bread slices with a crispy crust.,a piece of cake on a plate with a fork on it,86.8693,86.6275,86.7482,10.9658
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.",there is a plate of food on a table on a table,85.3422,85.8884,85.6144,0.0000
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,a white plate topped with a sandwich and a cup of sauce,88.8398,89.7624,89.2988,5.1288
000033.jpg,"Fresh oysters on ice, with sauce and lemon.",there is a bowl of soup on a table table,86.3390,86.4408,86.3899,6.6489
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,there is a large pizza on a wooden table,87.3267,86.0128,86.6648,0.0000
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.",a white plate topped with a variety of fruit,86.4152,84.6849,85.5413,0.0000
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",a close up of a bunch of bananas on a table,89.2596,86.8588,88.0428,0.0000
000037.jpg,"Fresh green salad with apples, walnuts, and beets.",a white plate topped with broccoli and a fork,87.3581,88.0411,87.6983,0.5789
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.",a pan filled with meat and broccoli on top of a stove,86.2288,86.1490,86.1889,0.4199
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.",a white plate topped with meat and broccoli on a table,88.2948,87.8036,88.0485,0.4945
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",a white plate topped with broccoli and a fork,88.3699,84.5685,86.4274,0.1765
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,a close up of a plate of food with a fork,85.5984,81.7844,83.6479,0.1505
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,a close up of a plate of food on a wooden table,85.7483,83.5992,84.6601,0.0000
000043.jpg,Fluffy beignets generously covered with powdered sugar.,a close up of a sandwich on a plate in a bowl,85.8407,85.1882,85.5132,0.0000
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,a white plate topped with meat and vegetables on a table,90.0553,87.7831,88.9046,24.3640
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,there is a piece of cake on the plate,87.8039,83.7751,85.7422,0.0000
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",a white plate topped with different kinds of food,84.9417,85.4709,85.2055,0.1990
000048.jpg,Chicken and vegetable stir-fry served with white rice.,a close up of a plate of food on a table with a fork,86.1408,86.0368,86.0888,0.0995
