filename,caption,predicted_caption,bert_P,bert_R,bert_F1,cider
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,crispy fried chicken wings with green onions and a side of sauce.,87.6843,88.0897,87.8865,0.0000
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.",crispy fried chicken wings with green onions and fresh green onions.e sauce.,87.5166,85.6753,86.5862,12.8577
000003.jpg,Frothy orange soup with a central green herb garnish.,crispy fried rice with a side of dipping sauce.,89.4840,87.0764,88.2638,19.7450
000004.jpg,"Golden paella with seafood, green peas, and rice.",crispy fried chicken wings with green onions and fresh green onions.,88.0054,90.4148,89.1939,9.6333
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",crispy fried chicken wings with green onions and fresh green onions.,86.5610,89.0727,87.7989,0.5380
000006.jpg,Cheesy burger with a generous portion of golden fries.,crispy fried chicken wings with golden fries and dipping sauce. fries.,89.2546,91.7596,90.4898,46.5393
000007.jpg,Layered tomato and fresh green salad.,crispy fried chicken wings with a side of sauce.e sauce.,85.4628,85.4366,85.4497,0.0000
000008.jpg,Spaghetti topped generously with a rich meat sauce.,crispy fried chicken wings with a side of sauce.e sauce.,88.2505,89.7041,88.9713,32.9477
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.",crispy fried chicken wings with a side of sauce.e sauce.,86.2163,85.3530,85.7825,0.0000
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,crispy fried rice with a side of a side of sauce.,87.3997,86.6891,87.0429,0.1942
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,crispy fried chicken wings with green onions and fresh green onions.e sauce.,87.0474,88.0523,87.5470,0.3695
000012.jpg,A blurry image of a bowl of fried rice.,crispy fried chicken wings with green onions and fresh green onions.e sauce.,84.3729,89.6199,86.9173,8.3399
000013.jpg,Golden brown melted cheese on a bubbling soup.,crispy fried rice with powdered sugar and a side of sauce.,86.2462,87.7737,87.0032,6.0269
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",crispy fried chicken wings with powdered sugar and a side of sauce.,88.3860,85.4384,86.8872,0.2801
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,crispy fried chicken wings with green onions and fresh green onions.,87.6650,85.6014,86.6209,0.3449
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.",crispy fried chicken wings with vibrant green onions..,85.8772,87.7993,86.8276,10.7884
000017.jpg,Crispy golden toast with powdered sugar and syrup.,crispy fried chicken wings with golden fries and dipping sauce.e.,89.7368,90.8860,90.3077,23.1129
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,crispy fried chicken wings with powdered sugar and a side of sauce.,88.3124,88.8574,88.5840,11.6778
000019.jpg,Fresh spring rolls with visible shrimp and greens.,crispy fried chicken wings with powdered sugar and a side of sauce.,87.0885,87.7131,87.3997,0.5370
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,crispy fried chicken wings with green onions and a side of sauce.,88.6114,89.2297,88.9195,0.4918
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,crispy fried chicken wings with powdered sugar and a side of sauce.,89.5352,87.7298,88.6233,28.7687
000022.jpg,Assortment of artfully presented appetizers on white servingware.,crispy fried chicken wings with a side of sauce.e sauce.,86.7319,86.3332,86.5321,9.5931
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,crispy fried chicken wings with golden fries and dipping sauce. fries.,87.9001,87.1731,87.5351,14.9180
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,crispy fried chicken wings with powdered sugar and a side of sauce.,89.7186,86.7715,88.2204,0.5969
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.","crispy fried chicken wings with sauce, cheese, cheese, and sauce.e.",83.7688,84.6720,84.2180,0.2366
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.","crispy fried chicken wings with egg, fresh green onions..",86.7464,88.7579,87.7406,0.2271
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.",crispy fried rice with a side of dipping sauces.,86.4150,86.2741,86.3445,13.9778
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,crispy fried rice with powdered sugar and a side of sauce.,88.7189,87.3385,88.0233,12.1370
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,crispy fried chicken wings with powdered sugar and a side of sauce.,87.8773,85.6651,86.7571,0.2150
000030.jpg,Golden brown toasted bread slices with a crispy crust.,crispy fried chicken wings with golden fries and dipping sauce. fries.,86.9352,89.0194,87.9649,18.2526
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.",crispy fried chicken wings with fresh green onions.e sauce.,85.6723,85.5034,85.5878,0.0000
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,crispy fried rice with a side of a side of sauce.,85.4851,86.9207,86.1969,5.0991
000033.jpg,"Fresh oysters on ice, with sauce and lemon.",crispy fried chicken wings with green onions and fresh green onions.,86.5730,88.7044,87.6257,0.5892
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,crispy fried chicken wings with green onions and fresh green onions.,88.1842,89.6905,88.9309,18.0286
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.",crispy fried chicken wings with green onions and a side of sauce.,86.3949,86.2393,86.3170,0.2667
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",crispy fried chicken wings with golden fries and dipping sauce. fries.,88.0313,89.8991,88.9554,45.0562
000037.jpg,"Fresh green salad with apples, walnuts, and beets.",crispy fried chicken wings with green onions and fresh green onions.,87.6735,88.9352,88.2998,9.4199
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.",crispy fried chicken wings with green onions and fresh salad..,90.1124,91.6412,90.8704,21.4792
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.",crispy fried chicken wings with a side of sauce.e sauce.,86.9889,85.2214,86.0961,0.2404
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",crispy fried chicken wings with green onions and fresh green onions.e sauce.,86.5771,84.3452,85.4466,0.1452
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,crispy fried rice with a side of a side of sauce.,85.9030,85.0914,85.4953,0.1976
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,crispy fried rice with melted cheese and dipping sauce.e.,86.7272,86.7270,86.7271,0.6411
000043.jpg,Fluffy beignets generously covered with powdered sugar.,crispy fried chicken wings with golden fries and dipping sauce. fries.,87.2724,87.0498,87.1610,0.2226
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,crispy fried chicken wings with green onions and fresh green onions.,88.4629,88.1361,88.2992,8.2541
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,crispy fried chicken wings with fresh green onions.e sauce.,88.2554,86.4167,87.3264,14.0099
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",crispy fried chicken wings with a side of a side of sauce.,85.5372,86.6993,86.1143,0.1887
000048.jpg,Chicken and vegetable stir-fry served with white rice.,crispy fried chicken wings with green onions and fresh green onions.e sauce.,85.9041,88.7414,87.2997,0.4734
000049.jpg,Gnawed chicken bones on a paper-lined tray.,crispy fried chicken wings with powdered sugar and a side of sauce.,86.9700,88.1744,87.5680,17.5002
000050.jpg,Classic cheese pizza slice with a sprinkle of seasoning.,crispy fried chicken wings with powdered sugar and a side of dipping sauce.,88.1315,90.7108,89.4025,13.1844
000051.jpg,"Dome-shaped fried rice with meat, egg, and red pickles.",crispy fried chicken wings with green onions and fresh green onions.,88.0517,88.5211,88.2858,11.3093
000052.jpg,A plate of golden-brown crispy chicken wings.,crispy fried chicken wings with golden fries and dipping sauce. fries.,89.1520,93.1098,91.0879,35.3678
000053.jpg,"Salsa with chunks, surrounded by colorful tortilla chips.",crispy fried chicken wings with golden fries and dipping sauce. fries.,86.8173,88.4982,87.6497,0.1929
000054.jpg,"Two cannolis filled with cream, dusted with powdered sugar.",crispy fried chicken wings with powdered sugar and a side of dipping sauce.,87.3424,89.3713,88.3452,33.3767
000055.jpg,"Crispy fried chicken, fresh greens, and creamy green sauce.",crispy fried chicken wings with green onions and a side of sauce.,93.6658,94.8428,94.2506,39.4284
000056.jpg,A cinnamon-sugar churro with a cup of chocolate dip.,crispy fried rice with powdered sugar and a side of sauce.,89.4882,89.3789,89.4335,16.8190
000057.jpg,"Thinly sliced meat, fresh greens, capers, and crispy flatbread.",crispy fried chicken wings with fresh green onions.e sauce.,88.7426,88.1502,88.4454,24.4096
000058.jpg,"Fresh Caesar salad with cheese, croutons, and a boiled egg.",crispy fried chicken wings with green onions and fresh green onions.,86.4524,86.9861,86.7184,0.5442
000059.jpg,"A close-up of glossy, saucy chicken wings.",crispy fried chicken wings with crispy fries and dipping sauce. fries.,87.9282,89.5142,88.7141,14.7622
000060.jpg,Richly roasted duck with shiny skin and white buns.,crispy fried rice with a side of dipping sauce.,87.2030,87.0598,87.1313,0.2630
000061.jpg,"Fried egg with ham, cheese sauce, and sweet potatoes.",crispy fried rice with melted cheese and fresh green onions.e.,88.4979,90.5596,89.5169,26.7279
000062.jpg,Fresh mixed green salad with croutons and crumbled cheese.,crispy fried chicken wings with green onions and fresh green onions.,88.0113,86.0041,86.9962,9.9038
000063.jpg,"Colorful rice bowl with vegetables, mushrooms, and egg yolk.",crispy fried rice with fresh green onions and fresh green onions.,86.6335,88.4609,87.5376,21.8020
000064.jpg,Grilled quesadilla slices with chicken and fresh tomato salsa.,crispy fried chicken wings with green onions and fresh green onions.,88.7826,88.0329,88.4062,36.2760
000065.jpg,Golden-brown grilled chicken wings on skewers.,crispy fried rice with powdered sugar and a side of sauce.,86.8062,89.1660,87.9703,0.0000
000066.jpg,"Noodles with shrimp, sprouts, peanuts, and lime wedge.",crispy fried chicken wings with green onions and fresh green onions.,86.7090,88.8836,87.7828,0.4774
000067.jpg,"Grilled fish with lemon, rice, soup, and side.",crispy fried chicken wings with fresh green onions.e sauce.,87.1316,87.1907,87.1611,0.2745
000068.jpg,Crispy fried fish and golden fries with lemon.,crispy fried chicken wings with golden fries and dipping sauce. fries.,92.2285,94.2586,93.2325,114.6630
000069.jpg,Golden fried fish with green peas and a lemon.,crispy fried chicken wings with golden fries and dipping sauce.e.,87.9184,89.9804,88.9374,16.1453
000070.jpg,Cheesy macaroni pasta shells in a foil cup.,crispy fried rice with a side of dipping sauce.,87.6409,86.0566,86.8415,5.8430
000071.jpg,Fragrant fried rice topped with fresh green onions.,crispy fried chicken wings with green onions and fresh salad..,89.7159,93.4971,91.5675,32.1198
000072.jpg,Toasted bread with diced tomatoes and fresh basil.,crispy fried chicken wings with fresh green onions.e sauce.,87.9773,89.2169,88.5928,11.2651
000073.jpg,"Fresh fruit salsa with toast, vibrant and colorful.",crispy fried chicken wings with crispy fries and dipping sauce. fries.,86.1806,87.5069,86.8387,0.5786
000074.jpg,Crispy golden fried chicken wings in a foil pan.,crispy fried chicken wings with golden fries and dipping sauce. fries.,91.7656,92.5561,92.1592,154.1428
000075.jpg,"White fish chunks and frisée salad, delicately plated.",crispy fried chicken wings with green onions and fresh green onions.,85.1813,85.5721,85.3763,0.2669
000076.jpg,"Assortment of cheeses, meats, crackers, and dried fruit.",crispy fried chicken wings with a side of sauce.e sauce.,85.7675,85.3785,85.5726,10.2487
