filename,caption,predicted_caption
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,crispy fried chicken wings with green onions and a side of sauce.
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.",crispy fried chicken wings with green onions and fresh green onions.e sauce.
000003.jpg,Frothy orange soup with a central green herb garnish.,crispy fried rice with a side of dipping sauce.
000004.jpg,"Golden paella with seafood, green peas, and rice.",crispy fried chicken wings with green onions and fresh green onions.
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",crispy fried chicken wings with green onions and fresh green onions.
000006.jpg,Cheesy burger with a generous portion of golden fries.,crispy fried chicken wings with golden fries and dipping sauce. fries.
000007.jpg,Layered tomato and fresh green salad.,crispy fried chicken wings with a side of sauce.e sauce.
000008.jpg,Spaghetti topped generously with a rich meat sauce.,crispy fried chicken wings with a side of sauce.e sauce.
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.",crispy fried chicken wings with a side of sauce.e sauce.
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,crispy fried rice with a side of a side of sauce.
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,crispy fried chicken wings with green onions and fresh green onions.e sauce.
000012.jpg,A blurry image of a bowl of fried rice.,crispy fried chicken wings with green onions and fresh green onions.e sauce.
000013.jpg,Golden brown melted cheese on a bubbling soup.,crispy fried rice with powdered sugar and a side of sauce.
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",crispy fried chicken wings with powdered sugar and a side of sauce.
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,crispy fried chicken wings with green onions and fresh green onions.
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.",crispy fried chicken wings with vibrant green onions..
000017.jpg,Crispy golden toast with powdered sugar and syrup.,crispy fried chicken wings with golden fries and dipping sauce.e.
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,crispy fried chicken wings with powdered sugar and a side of sauce.
000019.jpg,Fresh spring rolls with visible shrimp and greens.,crispy fried chicken wings with powdered sugar and a side of sauce.
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,crispy fried chicken wings with green onions and a side of sauce.
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,crispy fried chicken wings with powdered sugar and a side of sauce.
000022.jpg,Assortment of artfully presented appetizers on white servingware.,crispy fried chicken wings with a side of sauce.e sauce.
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,crispy fried chicken wings with golden fries and dipping sauce. fries.
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,crispy fried chicken wings with powdered sugar and a side of sauce.
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.","crispy fried chicken wings with sauce, cheese, cheese, and sauce.e."
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.","crispy fried chicken wings with egg, fresh green onions.."
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.",crispy fried rice with a side of dipping sauces.
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,crispy fried rice with powdered sugar and a side of sauce.
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,crispy fried chicken wings with powdered sugar and a side of sauce.
000030.jpg,Golden brown toasted bread slices with a crispy crust.,crispy fried chicken wings with golden fries and dipping sauce. fries.
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.",crispy fried chicken wings with fresh green onions.e sauce.
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,crispy fried rice with a side of a side of sauce.
000033.jpg,"Fresh oysters on ice, with sauce and lemon.",crispy fried chicken wings with green onions and fresh green onions.
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,crispy fried chicken wings with green onions and fresh green onions.
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.",crispy fried chicken wings with green onions and a side of sauce.
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",crispy fried chicken wings with golden fries and dipping sauce. fries.
000037.jpg,"Fresh green salad with apples, walnuts, and beets.",crispy fried chicken wings with green onions and fresh green onions.
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.",crispy fried chicken wings with green onions and fresh salad..
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.",crispy fried chicken wings with a side of sauce.e sauce.
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",crispy fried chicken wings with green onions and fresh green onions.e sauce.
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,crispy fried rice with a side of a side of sauce.
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,crispy fried rice with melted cheese and dipping sauce.e.
000043.jpg,Fluffy beignets generously covered with powdered sugar.,crispy fried chicken wings with golden fries and dipping sauce. fries.
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,crispy fried chicken wings with green onions and fresh green onions.
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,crispy fried chicken wings with fresh green onions.e sauce.
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",crispy fried chicken wings with a side of a side of sauce.
000048.jpg,Chicken and vegetable stir-fry served with white rice.,crispy fried chicken wings with green onions and fresh green onions.e sauce.
000049.jpg,Gnawed chicken bones on a paper-lined tray.,crispy fried chicken wings with powdered sugar and a side of sauce.
000050.jpg,Classic cheese pizza slice with a sprinkle of seasoning.,crispy fried chicken wings with powdered sugar and a side of dipping sauce.
000051.jpg,"Dome-shaped fried rice with meat, egg, and red pickles.",crispy fried chicken wings with green onions and fresh green onions.
