filename,caption,predicted_caption
000001.jpg,Succulent roasted duck surrounded by fluffy white bao buns.,there is a plate of food on a table
000002.jpg,"Quesadilla wedges with creamy drizzle, salsa and fresh lettuce.",there is a plate with a sandwich and a salad on it
000003.jpg,Frothy orange soup with a central green herb garnish.,a close up of a bowl of food on a table with a spoon
000004.jpg,"Golden paella with seafood, green peas, and rice.",there is a bowl of meat and vegetables on a table
000005.jpg,"Rice bowl topped with tofu, vegetables, and shredded egg.",there is a plate with a sandwich and a salad on it
000006.jpg,Cheesy burger with a generous portion of golden fries.,a plate of fries and a sandwich on a table
000007.jpg,Layered tomato and fresh green salad.,a plate of food with a fork and a fork on a table
000008.jpg,Spaghetti topped generously with a rich meat sauce.,there is a bowl of broccoli and a fork
000009.jpg,"Assorted cheeses, bread, nuts, apple slices, and jam.",a white plate topped with a piece of bread and a sandwich
000010.jpg,Rich French onion soup with bubbly melted cheese topping.,a bowl of soup with a spoon and a spoon on a table
000011.jpg,Flavorful Pad Thai noodles garnished with carrots and peanuts.,a white plate topped with a salad and a bowl of water
000012.jpg,A blurry image of a bowl of fried rice.,a plate with a piece of bread and a fork on it
000013.jpg,Golden brown melted cheese on a bubbling soup.,a white plate topped with a pizza and a fork
000014.jpg,"Creamy mac and cheese, toasted topping, small cast iron.",there is a piece of cake on the plate
000015.jpg,Fresh tomato bruschetta and olives on a bed of greens.,a white plate topped with meat and vegetables on a table
000016.jpg,"Grilled steak, baked potato with toppings, and green beans.",a white plate topped with meat and broccoli on a table
000017.jpg,Crispy golden toast with powdered sugar and syrup.,there is a piece of chocolate cake on a plate
000018.jpg,Round pizza with generous slices of sausage and melted cheese.,a close up of a pizza on a plate
000019.jpg,Fresh spring rolls with visible shrimp and greens.,a close up of a plate of food on a table with a plate of food
000020.jpg,Chicken curry with spiced potatoes and fresh parsley.,a white plate topped with broccoli and meat
000021.jpg,Spaghetti bolognese with a generous serving of savory meat sauce.,a close up of a plate of food with broccoli and a spoon
000022.jpg,Assortment of artfully presented appetizers on white servingware.,two plates of food on a table next to a bowl of soup
000023.jpg,Golden fried pastries generously dusted with white powdered sugar.,a bunch of doughnuts sitting on a white plate
000024.jpg,Sliced quesadilla with sour cream and fresh tomato salsa.,a plate of food on a table with a fork and fork
000025.jpg,"Assortment of Middle Eastern dishes, including hummus and falafel.",two plates of food on a table with a fork and a fork
000026.jpg,"Raw beef tartare with egg yolk, garlic, and toast.",a wooden table topped with a plate of food
000027.jpg,"Perfectly roasted meat, crispy exterior, juicy pink interior.",there is a piece of cake that is on a plate
000028.jpg,Warm fruit crumble topped with two scoops of ice cream.,a close up of a plate of food on a wooden table
000029.jpg,Sweet baklava pastry topped with crushed green pistachios.,a close up of a plate of food on a dining table
000030.jpg,Golden brown toasted bread slices with a crispy crust.,a piece of cake on a plate with a fork on it
000031.jpg,"Assorted cheeses, nuts, fruit spread, and crusty bread.",there is a plate of food on a table on a table
000032.jpg,Assorted crackers and cheese slices on a colorful plate.,a white plate topped with a sandwich and a cup of sauce
000033.jpg,"Fresh oysters on ice, with sauce and lemon.",there is a bowl of soup on a table table
000034.jpg,Golden flatbread topped with cheese and fresh herbs.,there is a large pizza on a wooden table
000035.jpg,"Cherry tomatoes, mozzarella balls, and fresh basil leaves.",a white plate topped with a variety of fruit
000036.jpg,"Shiny, saucy, golden-brown chicken wings close-up.",a close up of a bunch of bananas on a table
000037.jpg,"Fresh green salad with apples, walnuts, and beets.",a white plate topped with broccoli and a fork
000038.jpg,"Savory fried rice with egg, green onions, and pickled ginger.",a pan filled with meat and broccoli on top of a stove
000039.jpg,"Caesar salad with fresh greens, croutons, and anchovies.",a white plate topped with meat and broccoli on a table
000040.jpg,"Cheesy nachos piled high with salsa, guacamole, sour cream.",a white plate topped with broccoli and a fork
000041.jpg,Round carrot cake with white frosting and chopped walnuts.,a close up of a plate of food with a fork
000042.jpg,Sweet and savory glazed chicken wings with sesame seeds.,a close up of a plate of food on a wooden table
000043.jpg,Fluffy beignets generously covered with powdered sugar.,a close up of a sandwich on a plate in a bowl
000044.jpg,Colorful tostada topped with fresh seafood and chopped vegetables.,a white plate topped with meat and vegetables on a table
000045.jpg,Warm cobbler with vanilla ice cream and berry sauce.,there is a piece of cake on the plate
000046.jpg,"Waffle with chocolate drizzle, ice cream, and fresh fruit.",a white plate topped with different kinds of food
000048.jpg,Chicken and vegetable stir-fry served with white rice.,a close up of a plate of food on a table with a fork
000049.jpg,Gnawed chicken bones on a paper-lined tray.,a close up of a pizza on a plate
000050.jpg,Classic cheese pizza slice with a sprinkle of seasoning.,a close up of a slice of pizza on a plate
000051.jpg,"Dome-shaped fried rice with meat, egg, and red pickles.",a white plate topped with meat and veggies
000052.jpg,A plate of golden-brown crispy chicken wings.,a white plate topped with a variety of foods
000053.jpg,"Salsa with chunks, surrounded by colorful tortilla chips.",a close up of a bowl of food on a counter
000054.jpg,"Two cannolis filled with cream, dusted with powdered sugar.",a close up of a plate of food with two sandwiches
000055.jpg,"Crispy fried chicken, fresh greens, and creamy green sauce.",a white plate topped with a salad and a sandwich
000056.jpg,A cinnamon-sugar churro with a cup of chocolate dip.,there is a cup of coffee and a cup of coffee on a plate
000057.jpg,"Thinly sliced meat, fresh greens, capers, and crispy flatbread.",a plate of food on a table with a fork and fork
000058.jpg,"Fresh Caesar salad with cheese, croutons, and a boiled egg.",a white plate topped with broccoli and a fork
000059.jpg,"A close-up of glossy, saucy chicken wings.",a close up of a plate of food on a table with a fork
000060.jpg,Richly roasted duck with shiny skin and white buns.,a close up of a plate of food on a table
000061.jpg,"Fried egg with ham, cheese sauce, and sweet potatoes.",a close up of a plate of food with carrots and a knife
000062.jpg,Fresh mixed green salad with croutons and crumbled cheese.,a white plate topped with broccoli meat and broccoli
000063.jpg,"Colorful rice bowl with vegetables, mushrooms, and egg yolk.",a pan filled with carrots and green peppers
000064.jpg,Grilled quesadilla slices with chicken and fresh tomato salsa.,there is a sandwich on a tray with a side of carrots
000065.jpg,Golden-brown grilled chicken wings on skewers.,a close up of a plate of food on a table
000066.jpg,"Noodles with shrimp, sprouts, peanuts, and lime wedge.",a close up of a plate of food with broccoli
000067.jpg,"Grilled fish with lemon, rice, soup, and side.",a plate of food and a bowl of soup on a table
000068.jpg,Crispy fried fish and golden fries with lemon.,there is a plate of food that includes a sandwich and fries
000069.jpg,Golden fried fish with green peas and a lemon.,a close up of a plate of food on a table
000070.jpg,Cheesy macaroni pasta shells in a foil cup.,a bowl filled with bananas and oranges on a table
000071.jpg,Fragrant fried rice topped with fresh green onions.,there is a white plate of food on a table
000072.jpg,Toasted bread with diced tomatoes and fresh basil.,there is a plate of food with a fork and a fork
000073.jpg,"Fresh fruit salsa with toast, vibrant and colorful.",there is a plate with a sandwich and a salad on it
000074.jpg,Crispy golden fried chicken wings in a foil pan.,a close up of a plate of food with meat and broccoli
000075.jpg,"White fish chunks and frisée salad, delicately plated.",a white plate topped with broccoli carrots and a fork
000076.jpg,"Assortment of cheeses, meats, crackers, and dried fruit.",a close up of a plate of food on a wooden table
000077.jpg,Savory beef curry with rice and fresh vegetables.,there is a bowl of food on a table next to a bowl of soup
000078.jpg,"Thick patty on lettuce, served with golden french fries.",a plate with a sandwich and french fries on it and a side of fries
000079.jpg,Runny eggs benedict with hollandaise sauce and crispy hash browns.,a white plate topped with a piece of meat and a fork
000080.jpg,"Crispy, flaky baklava pastry with rich nutty layers.",a piece of cake sitting on top of a white plate
000081.jpg,"Two glistening baklava pastries, one with pistachio topping.",a white plate topped with two pieces of bread and a fork
000082.jpg,Golden fried samosas served with two vibrant chutneys.,a plate with a sandwich and a bowl of soup on it
000083.jpg,"Assorted cheese pieces, including blue cheese.",a close up of a plate of food on a table
000084.jpg,Golden-brown melted cheese topping a hearty bowl.,a pizza sitting on top of a white plate next to a fork
000085.jpg,Golden brown french toast with melted butter.,a white plate topped with two slices of food
000086.jpg,Vibrant seafood and fruit mix in a martini glass.,a plate of food with a fork and a glass of wine
000087.jpg,Clear broth with long white strips and dark ingredients.,a close up of a bowl of food with broccoli in it
000088.jpg,"Eggs Benedict covered in sauce, beside a fruit medley.",a close up of a plate of food on a table with a sandwich
000089.jpg,"Colorful rice bowl with egg yolk, vegetables, and sauce.",a close up of a bowl of food with broccoli and a spoon
000090.jpg,Crispy fried pastries served with dipping sauces and salad.,a close up of a plate of food on a table with a fork
000091.jpg,"English muffin sandwich with egg, peppers, and spinach.",a white plate topped with a sandwich and a pickle
000092.jpg,"Hot dog with toppings, pizza slice in background.",a close up of a hot dog in a bun on a table
000093.jpg,"Caprese salad with fresh mozzarella, tomatoes, and basil.",a close up of a pizza on a plate on a table
000094.jpg,Slice of cheesecake with dark berry topping.,a slice of cake on a plate with a fork on it
000095.jpg,Creamy soup with herbs in a white bowl.,a white plate topped with a fork and a spoon
000096.jpg,Golden french fries spilling from a white cup.,a hot dog and french fries on a tray
000097.jpg,"Creamy soup, garnished with fresh green herbs.",a white bowl filled with broccoli and a spoon
000098.jpg,"Square-cut pizza with pepperoni, olives, and mushrooms.",a close up of a pizza on a plate
000099.jpg,"Omelet with tomatoes, served with fresh strawberries.",a plate with a hot dog and a cup of coffee
000100.jpg,"Eggs Benedict with potatoes, grapes, and sliced fruit.",a white plate topped with meat and veggies
